=== Top 100 by cumulative time ===
Wed Dec  3 13:06:09 2025    runv26.prof

         2594633961 function calls (2277966005 primitive calls) in 1657.263 seconds

   Ordered by: cumulative time
   List reduced from 15468 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
                                                                 8283    0.001    0.001  _methods.py:221(_std)
                                                                   52    0.000    0.000  _multiufuncs.py:25(__init__)
                                                                 3303    0.000    0.000  _ops.py:120(inner)
                                                                  201    0.000    0.000  _ops.py:296(py_impl)
                                                               661248    0.094    0.094  _ops.py:1099(<lambda>)
                                                                14456    0.002    0.002  _ops.py:1107(<genexpr>)
                                                                 2350    0.000    0.000  _param_validation.py:104(make_constraint)
                                                                  192    0.000    0.000  _param_validation.py:300(is_satisfied_by)
                                                                  103    0.000    0.000  _param_validation.py:368(is_satisfied_by)
                                                                  209    0.000    0.000  _param_validation.py:447(_check_params)
                                                                   11    0.000    0.000  _param_validation.py:688(__init__)
                                                                25252    0.001    0.001  _parser.py:168(__getitem__)
                                                                  247    0.000    0.000  _parser.py:231(__init__)
                                                                   47    0.000    0.000  _parser.py:309(_convert)
                                                                  244    0.000    0.000  _parser.py:963(fix_flags)
                                                                    3    0.000    0.000  _parser.py:1006(parse_template)
                                                                    2    0.000    0.000  _pep440.py:158(_compare)
                                                                    2    0.000    0.000  _pickle.py:18(__bit_generator_ctor)
                                                                    2    0.000    0.000  _pickle.py:44(__generator_ctor)
                                                                    1    0.000    0.000  _policybase.py:289(_sanitize_header)
                                                                    1    0.000    0.000  _polynomial_impl.py:702(polyval)
                                                                    4    0.000    0.000  _polynomial_impl.py:1232(__init__)
                                                                   80    0.000    0.000  _python_dispatch.py:371(is_traceable_wrapper_subclass)
                                                              7274884    0.520    0.520  _pytree.py:679(is_namedtuple_class)
                                                                    2    0.000    0.000  _qmc.py:928(_initialize)
                                                                   10    0.000    0.000  _script.py:1(<module>)
                                                                   62    0.000    0.000  _script.py:281(__init__)
                                                                   21    0.000    0.000  _set_output.py:357(__init_subclass__)
                                                              3271578    0.363    0.363  _shape_base_impl.py:511(expand_dims)
                                                                   26    0.000    0.000  _sources.py:120(parse_def)
                                                                    1    0.000    0.000  _symbolic_trace.py:1205(wrap)
                                                                   20    0.000    0.000  _tensor.py:313(_reduce_ex_internal)
                                                                    4    0.000    0.000  _util.py:734(rng_integers)
                                                                   10    0.000    0.000  _utils.py:191(get_tensor_metadata)
                                                                   10    0.000    0.000  _utils.py:883(_element_size)
                                                                   58    0.000    0.000  _utils.py:911(classproperty)
                                                                    6    0.000    0.000  _version.py:114(_compare)
